,KEY,lot_item_code,lot_cost,lot_date,lot_count,lot_po,lot_count
IN3042|43272,IN3042|310818-A|3.49,IN3042,3.49,2018-06-21,1,310818-A,1
IN3042-G|43268,IN3042-G|310060-B|0,IN3042-G,0,2018-06-17,1,310060-B,1
IN3042-G|43272,IN3042-G|310818-A|3.49,IN3042-G,3.49,2018-06-21,1,310818-A,1
IN3044|43446,IN3044|341236|2.5,IN3044,2.5,2018-12-12,1,341236,1
IN3048|43365,IN3048|325137|1.75,IN3048,1.75,2018-09-22,1,325137,1
IN3048-G|43365,IN3048-G|325137|1.75,IN3048-G,1.75,2018-09-22,1,325137,1
IN3050|43365,IN3050|325137|1.75,IN3050,1.75,2018-09-22,1,325137,1
IN3050|43339,IN3050|321426|2.5,IN3050,2.5,2018-08-27,2,321426,2
IN3053|43365,IN3053|325137|1.75,IN3053,1.75,2018-09-22,2,325137,2
IN3053|43339,IN3053|321426|2.5,IN3053,2.5,2018-08-27,2,321426,2
IN3053|43355,IN3053|323573|2.5,IN3053,2.5,2018-09-12,1,323573,1
IN3053|43371,IN3053|326432|2.5,IN3053,2.5,2018-09-28,1,326432,1
IN3053-G|43365,IN3053-G|325137|1.75,IN3053-G,1.75,2018-09-22,2,325137,2
IN3053-G|43355,IN3053-G|323573|2.5,IN3053-G,2.5,2018-09-12,4,323573,4
IN3054|43363,IN3054|324804|2.5,IN3054,2.5,2018-09-20,1,324804,1
IN3055-G|43363,IN3055-G|324804|2.5,IN3055-G,2.5,2018-09-20,1,324804,1
IN3060|43190,IN3060|292589A|0,IN3060,0,2018-03-31,1,292589A,1
IN3060-G|43363,IN3060-G|324804|2.5,IN3060-G,2.5,2018-09-20,1,324804,1
IN3062|43363,IN3062|324804|2.5,IN3062,2.5,2018-09-20,1,324804,1
IN3062-G|43363,IN3062-G|324804|2.5,IN3062-G,2.5,2018-09-20,1,324804,1
IN3063|43257,IN3063|308516|0,IN3063,0,2018-06-06,1,308516,1
IN3063|43268,IN3063|310060-B|3.49,IN3063,3.49,2018-06-17,5,310060-B,5
IN3063|43272,IN3063|310818-A|3.49,IN3063,3.49,2018-06-21,6,310818-A,6
IN3064|43272,IN3064|310821|4.99,IN3064,4.99,2018-06-21,1,310821,1
IN3065|43268,IN3065|310060-B|0,IN3065,0,2018-06-17,1,310060-B,1
IN3066|43268,IN3066|310060-B|3.49,IN3066,3.49,2018-06-17,1,310060-B,1
IN3067|43252,IN3067|307840|4.99,IN3067,4.99,2018-06-01,1,307840,1
IN3067|43253,IN3067|307890|4.99,IN3067,4.99,2018-06-02,1,307890,1
IN3067|43272,IN3067|310821|4.99,IN3067,4.99,2018-06-21,1,310821,1
IN3067-G|43253,IN3067-G|307890|4.99,IN3067-G,4.99,2018-06-02,1,307890,1
IN3068|43272,IN3068|310821|4.99,IN3068,4.99,2018-06-21,1,310821,1
IN3069|43253,IN3069|307890|4.99,IN3069,4.99,2018-06-02,1,307890,1
IN3069|43267,IN3069|309695|4.99,IN3069,4.99,2018-06-16,1,309695,1
IN3069|43268,IN3069|310062|4.99,IN3069,4.99,2018-06-17,3,310062,3
IN3070|43268,IN3070|310060-B|3.49,IN3070,3.49,2018-06-17,1,310060-B,1
IN3071|43268,IN3071|310060-B|0,IN3071,0,2018-06-17,1,310060-B,1
IN3074|43272,IN3074|310821|4.99,IN3074,4.99,2018-06-21,1,310821,1
IN3075|43252,IN3075|307840|4.99,IN3075,4.99,2018-06-01,1,307840,1
IN3075|43253,IN3075|307890|4.99,IN3075,4.99,2018-06-02,1,307890,1
IN3075|43268,IN3075|310062|4.99,IN3075,4.99,2018-06-17,1,310062,1
IN3076|43365,IN3076|325137|1.75,IN3076,1.75,2018-09-22,2,325137,2
IN3077|43268,IN3077|310060-B|3.49,IN3077,3.49,2018-06-17,1,310060-B,1
IN3077|43272,IN3077|310818-A|3.49,IN3077,3.49,2018-06-21,1,310818-A,1
IN3078|43272,IN3078|310818-B|3.49,IN3078,3.49,2018-06-21,1,310818-B,1
IN3080|43190,IN3080|292589A|0,IN3080,0,2018-03-31,1,292589A,1
IN3080|43268,IN3080|310060-B|3.49,IN3080,3.49,2018-06-17,2,310060-B,2
IN3080|43272,IN3080|310818-B|3.49,IN3080,3.49,2018-06-21,3,310818-B,3
IN3081|43268,IN3081|310060-B|3.49,IN3081,3.49,2018-06-17,1,310060-B,1
IN3081|43272,IN3081|310818-B|3.49,IN3081,3.49,2018-06-21,1,310818-B,1
IN3082|43268,IN3082|310060-B|3.49,IN3082,3.49,2018-06-17,1,310060-B,1
IN3082|43272,IN3082|310818-B|3.49,IN3082,3.49,2018-06-21,1,310818-B,1
IN3083|43268,IN3083|310060-B|3.49,IN3083,3.49,2018-06-17,1,310060-B,1
IN3083|43272,IN3083|310818-B|3.49,IN3083,3.49,2018-06-21,1,310818-B,1
IN4000|43430,IN4000|337104-B|1.17,IN4000,1.17,2018-11-26,3,337104-B,3
IN4000|43431,IN4000|337864-B|1.17,IN4000,1.17,2018-11-27,1,337864-B,1
IN4000|43268,IN4000|310060-B|3,IN4000,3,2018-06-17,3,310060-B,3
IN4000|43272,IN4000|310818-C|3,IN4000,3,2018-06-21,3,310818-C,3
IN4000|43460,IN4000|343387|3.33,IN4000,3.33,2018-12-26,1,343387,1
IN4000|43267,IN4000|309695|5,IN4000,5,2018-06-16,1,309695,1
IN4000|43268,IN4000|310062|5,IN4000,5,2018-06-17,1,310062,1
IN4000|43269,IN4000|310120|5,IN4000,5,2018-06-18,2,310120,2
IN4000|43272,IN4000|310821|5,IN4000,5,2018-06-21,2,310821,2
IN4001|43268,IN4001|310060-B|3,IN4001,3,2018-06-17,5,310060-B,5
IN4001|43272,IN4001|310818-C|3,IN4001,3,2018-06-21,6,310818-C,6
IN4001|43267,IN4001|309695|5,IN4001,5,2018-06-16,2,309695,2
IN4001|43268,IN4001|310062|5,IN4001,5,2018-06-17,1,310062,1
IN4001|43269,IN4001|310120|5,IN4001,5,2018-06-18,2,310120,2
IN4001|43272,IN4001|310821|5,IN4001,5,2018-06-21,5,310821,5
IN4002|43392,IN4002|329652|2.5,IN4002,2.5,2018-10-19,4,329652,4
IN4002|43395,IN4002|330380|2.5,IN4002,2.5,2018-10-22,1,330380,1
IN4002|43268,IN4002|310060-C|3,IN4002,3,2018-06-17,3,310060-C,3
IN4002|43272,IN4002|310818-C|3,IN4002,3,2018-06-21,3,310818-C,3
IN4002|43267,IN4002|309695|5,IN4002,5,2018-06-16,1,309695,1
IN4002|43268,IN4002|310062|5,IN4002,5,2018-06-17,1,310062,1
IN4002|43269,IN4002|310120|5,IN4002,5,2018-06-18,2,310120,2
IN4002|43272,IN4002|310821|5,IN4002,5,2018-06-21,1,310821,1
IN4003|43430,IN4003|337104-B|1.4,IN4003,1.4,2018-11-26,1,337104-B,1
IN4003|43431,IN4003|337864-B|1.4,IN4003,1.4,2018-11-27,1,337864-B,1
IN4003|43454,IN4003|342752|1.58,IN4003,1.58,2018-12-20,1,342752,1
IN4003|43427,IN4003|336482|2,IN4003,2,2018-11-23,1,336482,1
IN4003|43428,IN4003|336677|2,IN4003,2,2018-11-24,3,336677,3
IN4003|43431,IN4003|337786|2,IN4003,2,2018-11-27,1,337786,1
IN4003|43432,IN4003|338009|2,IN4003,2,2018-11-28,1,338009,1
IN4003|43460,IN4003|343387|2,IN4003,2,2018-12-26,1,343387,1
IN4003|43465,IN4003|344612|2,IN4003,2,2018-12-31,1,344612,1
IN4003|43268,IN4003|310060-C|3,IN4003,3,2018-06-17,3,310060-C,3
IN4003|43272,IN4003|310818-C|3,IN4003,3,2018-06-21,2,310818-C,2
IN4003|43267,IN4003|309695|5,IN4003,5,2018-06-16,1,309695,1
IN4003|43268,IN4003|310062|5,IN4003,5,2018-06-17,1,310062,1
IN4003|43269,IN4003|310120|5,IN4003,5,2018-06-18,2,310120,2
IN4003|43272,IN4003|310821|5,IN4003,5,2018-06-21,1,310821,1
IN4003-G|43267,IN4003-G|309695|0,IN4003-G,0,2018-06-16,1,309695,1
IN4003-G|43460,IN4003-G|343387|1.27,IN4003-G,1.27,2018-12-26,1,343387,1
IN4003-G|43460,IN4003-G|343387|1.43,IN4003-G,1.43,2018-12-26,1,343387,1
IN4003-G|43430,IN4003-G|337104|1.78,IN4003-G,1.78,2018-11-26,1,337104,1
IN4003-G|43431,IN4003-G|337864-B|1.78,IN4003-G,1.78,2018-11-27,1,337864-B,1
IN4003-G|43427,IN4003-G|336482|2.14,IN4003-G,2.14,2018-11-23,1,336482,1
IN4003-G|43428,IN4003-G|336677|2.14,IN4003-G,2.14,2018-11-24,1,336677,1
IN4003-G|43268,IN4003-G|310060-C|3,IN4003-G,3,2018-06-17,2,310060-C,2
IN4003-G|43272,IN4003-G|310818-C|3,IN4003-G,3,2018-06-21,2,310818-C,2
IN4003-G|43268,IN4003-G|310062|5,IN4003-G,5,2018-06-17,1,310062,1
IN4003-G|43272,IN4003-G|310821|5,IN4003-G,5,2018-06-21,5,310821,5
IN4004|43460,IN4004|343387|1.67,IN4004,1.67,2018-12-26,1,343387,1
IN4004|43430,IN4004|337104|1.75,IN4004,1.75,2018-11-26,1,337104,1
IN4004|43431,IN4004|337864-B|1.75,IN4004,1.75,2018-11-27,2,337864-B,2
IN4004|43425,IN4004|335666|2.5,IN4004,2.5,2018-11-21,7,335666,7
IN4004|43425,IN4004|335664|2.5,IN4004,2.5,2018-11-21,5,335664,5
IN4004|43425,IN4004|335662|2.5,IN4004,2.5,2018-11-21,2,335662,2
IN4004|43427,IN4004|336482|2.5,IN4004,2.5,2018-11-23,2,336482,2
IN4004|43428,IN4004|336677|2.5,IN4004,2.5,2018-11-24,2,336677,2
IN4004|43429,IN4004|336811|2.5,IN4004,2.5,2018-11-25,1,336811,1
IN4004|43431,IN4004|337786|2.5,IN4004,2.5,2018-11-27,2,337786,2
IN4004|43432,IN4004|338009|2.5,IN4004,2.5,2018-11-28,2,338009,2
IN4004|43268,IN4004|310060-C|3,IN4004,3,2018-06-17,3,310060-C,3
IN4004|43272,IN4004|310818-C|3,IN4004,3,2018-06-21,5,310818-C,5
IN4004|43267,IN4004|309695|5,IN4004,5,2018-06-16,1,309695,1
IN4004|43268,IN4004|310062|5,IN4004,5,2018-06-17,1,310062,1
IN4004|43269,IN4004|310120|5,IN4004,5,2018-06-18,2,310120,2
IN4004|43272,IN4004|310821|5,IN4004,5,2018-06-21,5,310821,5
IN4005|43268,IN4005|310060-C|3,IN4005,3,2018-06-17,3,310060-C,3
IN4005|43272,IN4005|310818-C|3,IN4005,3,2018-06-21,5,310818-C,5
IN4005|43267,IN4005|309695|5,IN4005,5,2018-06-16,1,309695,1
IN4005|43268,IN4005|310062|5,IN4005,5,2018-06-17,1,310062,1
IN4005|43269,IN4005|310120|5,IN4005,5,2018-06-18,2,310120,2
IN4005|43272,IN4005|310821|5,IN4005,5,2018-06-21,1,310821,1
IN4006|43460,IN4006|343387|1.67,IN4006,1.67,2018-12-26,1,343387,1
IN4006|43430,IN4006|337104|1.75,IN4006,1.75,2018-11-26,1,337104,1
IN4006|43431,IN4006|337864-B|1.75,IN4006,1.75,2018-11-27,2,337864-B,2
IN4006|43425,IN4006|335666|2.5,IN4006,2.5,2018-11-21,7,335666,7
IN4006|43425,IN4006|335664|2.5,IN4006,2.5,2018-11-21,5,335664,5
IN4006|43425,IN4006|335662|2.5,IN4006,2.5,2018-11-21,2,335662,2
IN4006|43427,IN4006|336482|2.5,IN4006,2.5,2018-11-23,2,336482,2
IN4006|43428,IN4006|336677|2.5,IN4006,2.5,2018-11-24,2,336677,2
IN4006|43429,IN4006|336811|2.5,IN4006,2.5,2018-11-25,1,336811,1
IN4006|43431,IN4006|337786|2.5,IN4006,2.5,2018-11-27,2,337786,2
IN4006|43432,IN4006|338009|2.5,IN4006,2.5,2018-11-28,2,338009,2
IN4006|43268,IN4006|310060-C|3,IN4006,3,2018-06-17,3,310060-C,3
IN4006|43272,IN4006|310818-C|3,IN4006,3,2018-06-21,5,310818-C,5
IN4006|43267,IN4006|309695|5,IN4006,5,2018-06-16,1,309695,1
IN4006|43268,IN4006|310062|5,IN4006,5,2018-06-17,1,310062,1
IN4006|43269,IN4006|310120|5,IN4006,5,2018-06-18,2,310120,2
IN4006|43272,IN4006|310821|5,IN4006,5,2018-06-21,1,310821,1
IN4007|43430,IN4007|337104-B|1.17,IN4007,1.17,2018-11-26,10,337104-B,10
IN4007|43430,IN4007|337141|1.67,IN4007,1.67,2018-11-26,5,337141,5
IN4007|43430,IN4007|337150|1.67,IN4007,1.67,2018-11-26,5,337150,5
IN4007|43268,IN4007|310060-C|3,IN4007,3,2018-06-17,3,310060-C,3
IN4007|43272,IN4007|310818-C|3,IN4007,3,2018-06-21,5,310818-C,5
IN4007|43268,IN4007|310062|5,IN4007,5,2018-06-17,1,310062,1
IN4007|43269,IN4007|310120|5,IN4007,5,2018-06-18,2,310120,2
IN4007|43272,IN4007|310821|5,IN4007,5,2018-06-21,5,310821,5
IN4008|43460,IN4008|343387|1.67,IN4008,1.67,2018-12-26,1,343387,1
IN4008|43526,IN4008|354319|1.67,IN4008,1.67,2019-03-02,1,354319,1
IN4008|43431,IN4008|337864-B|1.75,IN4008,1.75,2018-11-27,1,337864-B,1
IN4008|43427,IN4008|336482|2.5,IN4008,2.5,2018-11-23,1,336482,1
IN4008|43432,IN4008|338009|2.5,IN4008,2.5,2018-11-28,1,338009,1
IN4008|43268,IN4008|310060-C|3,IN4008,3,2018-06-17,3,310060-C,3
IN4008|43272,IN4008|310818-C|3,IN4008,3,2018-06-21,3,310818-C,3
IN4008|43268,IN4008|310062|5,IN4008,5,2018-06-17,1,310062,1
IN4008|43269,IN4008|310120|5,IN4008,5,2018-06-18,2,310120,2
IN4008|43272,IN4008|310821|5,IN4008,5,2018-06-21,1,310821,1
IN4009|43460,IN4009|343387|1.52,IN4009,1.52,2018-12-26,1,343387,1
IN4009|43454,IN4009|342752|2.95,IN4009,2.95,2018-12-20,1,342752,1
IN4009|43268,IN4009|310060-C|3,IN4009,3,2018-06-17,3,310060-C,3
IN4009|43272,IN4009|310818-C|3,IN4009,3,2018-06-21,3,310818-C,3
IN4009|43267,IN4009|309695|5,IN4009,5,2018-06-16,1,309695,1
IN4009|43268,IN4009|310062|5,IN4009,5,2018-06-17,1,310062,1
IN4009|43269,IN4009|310120|5,IN4009,5,2018-06-18,2,310120,2
IN4009|43272,IN4009|310821|5,IN4009,5,2018-06-21,5,310821,5
IN4010|43392,IN4010|329652|2.5,IN4010,2.5,2018-10-19,4,329652,4
IN4010|43395,IN4010|330380|2.5,IN4010,2.5,2018-10-22,1,330380,1
IN4010|43268,IN4010|310060-C|3,IN4010,3,2018-06-17,3,310060-C,3
IN4010|43272,IN4010|310818-C|3,IN4010,3,2018-06-21,3,310818-C,3
IN4010|43267,IN4010|309695|5,IN4010,5,2018-06-16,1,309695,1
IN4010|43268,IN4010|310062|5,IN4010,5,2018-06-17,1,310062,1
IN4010|43269,IN4010|310120|5,IN4010,5,2018-06-18,2,310120,2
IN4010|43272,IN4010|310821|5,IN4010,5,2018-06-21,1,310821,1
IN4011|43267,IN4011|309695|0,IN4011,0,2018-06-16,1,309695,1
IN4011|43460,IN4011|343387|1.67,IN4011,1.67,2018-12-26,1,343387,1
IN4011|43526,IN4011|354319|1.67,IN4011,1.67,2019-03-02,1,354319,1
IN4011|43431,IN4011|337864-B|1.75,IN4011,1.75,2018-11-27,1,337864-B,1
IN4011|43427,IN4011|336482|2.5,IN4011,2.5,2018-11-23,1,336482,1
IN4011|43432,IN4011|338009|2.5,IN4011,2.5,2018-11-28,1,338009,1
IN4011|43268,IN4011|310060-C|3,IN4011,3,2018-06-17,3,310060-C,3
IN4011|43272,IN4011|310818-C|3,IN4011,3,2018-06-21,1,310818-C,1
IN4011|43272,IN4011|310818-C|3,IN4011,3,2018-06-21,2,310818-C,2
IN4011|43268,IN4011|310062|5,IN4011,5,2018-06-17,1,310062,1
IN4011|43269,IN4011|310120|5,IN4011,5,2018-06-18,2,310120,2
IN4011|43272,IN4011|310821|5,IN4011,5,2018-06-21,1,310821,1
IN4011|43135,IN4011|280382|12.99,IN4011,12.99,2018-02-04,1,280382,1
IN4012|43365,IN4012|325137|3.75,IN4012,3.75,2018-09-22,10,325137,10
IN4012|43363,IN4012|324804|5,IN4012,5,2018-09-20,10,324804,10
IN4012|43364,IN4012|324936|5,IN4012,5,2018-09-21,1,324936,1
IN4012|43364,IN4012|324936|5,IN4012,5,2018-09-21,1,324936,1
IN4012|43371,IN4012|326432|5,IN4012,5,2018-09-28,9,326432,9
IN4012|43371,IN4012|326432|5,IN4012,5,2018-09-28,1,326432,1
IN4012|43257,IN4012|308516|9.99,IN4012,9.99,2018-06-06,1,308516,1
IN4016|43444,IN4016|340712|4,IN4016,4,2018-12-10,3,340712,3
IN4016|43446,IN4016|341236|4,IN4016,4,2018-12-12,4,341236,4
IN4018|43451,IN4018|342400|0,IN4018,0,2018-12-17,1,342400,1
IN4018|43430,IN4018|337104-B|3.5,IN4018,3.5,2018-11-26,1,337104-B,1
IN4018|43431,IN4018|337864-B|3.5,IN4018,3.5,2018-11-27,2,337864-B,2
IN4018-G|43242,IN4018-G|304949|2,IN4018-G,2,2018-05-22,5,304949,5
IN4018-G|43242,IN4018-G|304948|2.05,IN4018-G,2.05,2018-05-22,11,304948,11
IN4018-G|43430,IN4018-G|337104-B|3.5,IN4018-G,3.5,2018-11-26,1,337104-B,1
IN4019|43430,IN4019|337104-B|3.5,IN4019,3.5,2018-11-26,1,337104-B,1
IN4019|43431,IN4019|337864-B|3.5,IN4019,3.5,2018-11-27,2,337864-B,2
IN4019-G|43430,IN4019-G|337104-B|3.5,IN4019-G,3.5,2018-11-26,1,337104-B,1
IN4020|43257,IN4020|308516|9.99,IN4020,9.99,2018-06-06,1,308516,1
IN5030|43268,IN5030|310060-C|5.99,IN5030,5.99,2018-06-17,2,310060-C,2
IN5030|43101,IN5030|273824|7.79,IN5030,7.79,2018-01-01,1,273824,1
IN5030|43526,IN5030|354319|9,IN5030,9,2019-03-02,1,354319,1
IN5030|43371,IN5030|326432|10,IN5030,10,2018-09-28,1,326432,1
IN5031|43444,IN5031|340712|4,IN5031,4,2018-12-10,3,340712,3
IN5031|43446,IN5031|341236|4,IN5031,4,2018-12-12,4,341236,4
IN5031|43526,IN5031|354319|9,IN5031,9,2019-03-02,1,354319,1
IN5077S|43272,IN5077S|310818-A|1.43,IN5077S,1.43,2018-06-21,5,310818-A,5
IN5077S|43268,IN5077S|310062|1.9,IN5077S,1.9,2018-06-17,5,310062,5
IN5077S|43269,IN5077S|310120|1.9,IN5077S,1.9,2018-06-18,5,310120,5
IN5077S|43430,IN5077S|337104|2.5,IN5077S,2.5,2018-11-26,2,337104,2
IN5077S|43431,IN5077S|337864-B|2.5,IN5077S,2.5,2018-11-27,2,337864-B,2
IN5077S|43412,IN5077S|333177|3.33,IN5077S,3.33,2018-11-08,3,333177,3
IN5077S|43422,IN5077S|334881|3.33,IN5077S,3.33,2018-11-18,3,334881,3
IN5077S|43423,IN5077S|335295|3.33,IN5077S,3.33,2018-11-19,2,335295,2
IN5077S|43427,IN5077S|336482|3.33,IN5077S,3.33,2018-11-23,1,336482,1
IN5077S|43429,IN5077S|336811|3.33,IN5077S,3.33,2018-11-25,1,336811,1
IN5077S|43431,IN5077S|337786|3.33,IN5077S,3.33,2018-11-27,1,337786,1
IN9996|43236,IN9996|303393|1,IN9996,1,2018-05-16,22,303393,22
IN9996|43276,IN9996|HT20180516|1.5,IN9996,1.5,2018-06-25,1,HT20180516,1
IN9997|43231,IN9997|302260|1,IN9997,1,2018-05-11,19,302260,19
IN9997|43233,IN9997|302625|1,IN9997,1,2018-05-13,20,302625,20
IN9997|43234,IN9997|303008|1,IN9997,1,2018-05-14,20,303008,20
IN9997|43235,IN9997|303272|1,IN9997,1,2018-05-15,20,303272,20
IN9997|43237,IN9997|303809|1,IN9997,1,2018-05-17,20,303809,20
IN9997|43238,IN9997|304162|1,IN9997,1,2018-05-18,20,304162,20
IN9997|43238,IN9997|303928|1,IN9997,1,2018-05-18,20,303928,20
IN9997|43238,IN9997|303933|1,IN9997,1,2018-05-18,20,303933,20
IN9997|43240,IN9997|304479|1,IN9997,1,2018-05-20,20,304479,20
IN9997|43242,IN9997|304948|1,IN9997,1,2018-05-22,10,304948,10
IN9997|43242,IN9997|304949|1,IN9997,1,2018-05-22,10,304949,10
IN9997|43339,IN9997|321376|1,IN9997,1,2018-08-27,10,321376,10
IN9997|43343,IN9997|322045|1,IN9997,1,2018-08-31,5,322045,5
IN9997|43343,IN9997|322050|1,IN9997,1,2018-08-31,5,322050,5
IN9997|43355,IN9997|323573|1,IN9997,1,2018-09-12,10,323573,10
IN9997|43363,IN9997|324804|1,IN9997,1,2018-09-20,20,324804,20
IN9997|43371,IN9997|326432|1,IN9997,1,2018-09-28,20,326432,20
IN9997|43384,IN9997|328332|1,IN9997,1,2018-10-11,5,328332,5
IN9997|43392,IN9997|329652|1,IN9997,1,2018-10-19,10,329652,10
IN9997|43395,IN9997|330380|1,IN9997,1,2018-10-22,10,330380,10
IN9998|43190,IN9998|KS20180331|1,IN9998,1,2018-03-31,24,KS20180331,24
IN9998|43236,IN9998|303393|1,IN9998,1,2018-05-16,20,303393,20
IN9998|43246,IN9998|306000|1,IN9998,1,2018-05-26,10,306000,10
IN9998|43248,IN9998|306179|1,IN9998,1,2018-05-28,10,306179,10
IN9998|43249,IN9998|307160|1,IN9998,1,2018-05-29,10,307160,10
IN9998|43249,IN9998|307115|1,IN9998,1,2018-05-29,20,307115,20
IN9998|43249,IN9998|306454|1,IN9998,1,2018-05-29,10,306454,10
IN9998|43376,IN9998|TT20181003|1,IN9998,1,2018-10-03,10,TT20181003,10
IN9998|43236,IN9998|HT20180516|1.5,IN9998,1.5,2018-05-16,5,HT20180516,5
IN9998|43225,IN9998|RB20180505|3.7,IN9998,3.7,2018-05-05,2,RB20180505,2
INC1011|43272,INC1011|310818-B|3.49,INC1011,3.49,2018-06-21,2,310818-B,2
INC1012|43272,INC1012|310818-B|3.49,INC1012,3.49,2018-06-21,5,310818-B,5
INC1027|43272,INC1027|310818-B|3.49,INC1027,3.49,2018-06-21,1,310818-B,1
INC1030|43268,INC1030|310060-B|3.49,INC1030,3.49,2018-06-17,2,310060-B,2
INC1030|43272,INC1030|310818-B|3.49,INC1030,3.49,2018-06-21,1,310818-B,1
INC1040|43268,INC1040|310060-B|3.49,INC1040,3.49,2018-06-17,1,310060-B,1
INC1041|43268,INC1041|310060-B|3.49,INC1041,3.49,2018-06-17,2,310060-B,2
INC1041|43272,INC1041|310818-B|3.49,INC1041,3.49,2018-06-21,1,310818-B,1
INC1043|43268,INC1043|310060-B|3.49,INC1043,3.49,2018-06-17,2,310060-B,2
INC1043|43272,INC1043|310818-B|3.49,INC1043,3.49,2018-06-21,1,310818-B,1
INC1044|43268,INC1044|310060-B|3.49,INC1044,3.49,2018-06-17,1,310060-B,1
INC1045|43268,INC1045|310060-B|3.49,INC1045,3.49,2018-06-17,1,310060-B,1
INC1045|43272,INC1045|310818-B|3.49,INC1045,3.49,2018-06-21,1,310818-B,1
INC1045|43272,INC1045|310818-B|3.49,INC1045,3.49,2018-06-21,1,310818-B,1
INC1046|43268,INC1046|310060-B|0,INC1046,0,2018-06-17,1,310060-B,1
INC1047|43268,INC1047|310060-B|3.49,INC1047,3.49,2018-06-17,2,310060-B,2
INC1047|43272,INC1047|310818-B|3.49,INC1047,3.49,2018-06-21,1,310818-B,1
INC1049|43268,INC1049|310060-B|3.49,INC1049,3.49,2018-06-17,1,310060-B,1
INC1049|43272,INC1049|310818-B|3.49,INC1049,3.49,2018-06-21,1,310818-B,1
INC1050|43268,INC1050|310060-B|0,INC1050,0,2018-06-17,1,310060-B,1
INC1050|43272,INC1050|310818-B|3.49,INC1050,3.49,2018-06-21,1,310818-B,1
INC1051|43268,INC1051|310060-B|3.49,INC1051,3.49,2018-06-17,1,310060-B,1
INC1052|43268,INC1052|310060-B|3.49,INC1052,3.49,2018-06-17,1,310060-B,1
INC1052|43272,INC1052|310818-B|3.49,INC1052,3.49,2018-06-21,1,310818-B,1
INC1053|43272,INC1053|310818-B|3.49,INC1053,3.49,2018-06-21,2,310818-B,2
INC1054|43268,INC1054|310060-B|0,INC1054,0,2018-06-17,1,310060-B,1
INC1054|43268,INC1054|310060-B|3.49,INC1054,3.49,2018-06-17,1,310060-B,1
INC1054|43272,INC1054|310818-B|3.49,INC1054,3.49,2018-06-21,2,310818-B,2
INC1056|43268,INC1056|310060-B|0,INC1056,0,2018-06-17,2,310060-B,2
INC1056|43272,INC1056|310818-B|3.49,INC1056,3.49,2018-06-21,1,310818-B,1
INC1057|43272,INC1057|310818-B|3.49,INC1057,3.49,2018-06-21,1,310818-B,1
INC1058|43268,INC1058|310060-B|3.49,INC1058,3.49,2018-06-17,2,310060-B,2
INC1058|43272,INC1058|310818-B|3.49,INC1058,3.49,2018-06-21,1,310818-B,1
INC1059|43268,INC1059|310060-B|3.49,INC1059,3.49,2018-06-17,2,310060-B,2
INC1059|43272,INC1059|310818-B|3.49,INC1059,3.49,2018-06-21,2,310818-B,2
INC1060|43268,INC1060|310060-B|3.49,INC1060,3.49,2018-06-17,1,310060-B,1
INC1061|43272,INC1061|310818-B|3.49,INC1061,3.49,2018-06-21,1,310818-B,1
INC1066|43268,INC1066|310060-B|0,INC1066,0,2018-06-17,5,310060-B,5
INC1066|43272,INC1066|310818-B|3.49,INC1066,3.49,2018-06-21,2,310818-B,2
INC1158|43522,INC1158|352283|0,INC1158,0,2019-02-26,1,352283,1
INC6009|43339,INC6009|321426|10,INC6009,10,2018-08-27,1,321426,1
INC6009|43429,INC6009|336811|10,INC6009,10,2018-11-25,1,336811,1
INC6025-S|43343,INC6025-S|322045|7.5,INC6025-S,7.5,2018-08-31,2,322045,2
INC6025-S|43343,INC6025-S|322050|7.5,INC6025-S,7.5,2018-08-31,2,322050,2
INCAB1|43365,INCAB1|325137|3.5,INCAB1,3.5,2018-09-22,2,325137,2
INCAB1|43363,INCAB1|324804|5,INCAB1,5,2018-09-20,1,324804,1
INCAB1|43364,INCAB1|324937|5,INCAB1,5,2018-09-21,5,324937,5
INCCH2|43427,INCCH2|336482|0,INCCH2,0,2018-11-23,1,336482,1
INCCH2|43428,INCCH2|336677|0,INCCH2,0,2018-11-24,2,336677,2
INCCH3|43429,INCCH3|336811-B|0,INCCH3,0,2018-11-25,1,336811-B,1
INCJS9|43268,INCJS9|310060-B|5.99,INCJS9,5.99,2018-06-17,1,310060-B,1
INCJS9|43267,INCJS9|309695|9.99,INCJS9,9.99,2018-06-16,1,309695,1
INCMC1|43431,INCMC1|337864-A|3.5,INCMC1,3.5,2018-11-27,1,337864-A,1
INCMC1-G|43431,INCMC1-G|337864-A|3.5,INCMC1-G,3.5,2018-11-27,1,337864-A,1
INCSF10|43460,INCSF10|343538-Rest|1.75,INCSF10,1.75,2018-12-26,10,343538-Rest,10
INCSF11|43460,INCSF11|343538-Rest|1.75,INCSF11,1.75,2018-12-26,15,343538-Rest,15
INCSF11|43465,INCSF11|344612|2.5,INCSF11,2.5,2018-12-31,4,344612,4
INCSF15|43465,INCSF15|344612|2.5,INCSF15,2.5,2018-12-31,1,344612,1
INCSF16|43460,INCSF16|343538-Rest|1.75,INCSF16,1.75,2018-12-26,10,343538-Rest,10
INCSF18|43460,INCSF18|343538-Rest|1.75,INCSF18,1.75,2018-12-26,5,343538-Rest,5
INCSF9|43460,INCSF9|343538-Rest|1.75,INCSF9,1.75,2018-12-26,10,343538-Rest,10
INCSF9|43465,INCSF9|344612|2.5,INCSF9,2.5,2018-12-31,1,344612,1
